,ZCTA,Estimate  HOUSEHOLDS BY TYPE  Total households,Percent  COMPUTERS AND INTERNET USE  Total households  With a computer,Estimate  HOUSEHOLDS BY TYPE  Total households  Married-couple household  With children of the householder under 18 years
1067,94536,24776,97.4,8144
1068,94538,21726,97.8,7185
1069,94539,16409,98.5,6724
1070,94541,22134,94.9,4888
1071,94542,5029,98.6,942
1072,94544,23037,96.2,5333
1073,94545,9966,94.6,2252
1074,94546,16218,96,3965
1075,94547,9068,98.1,1937
1076,94548,185,80.5,67
1077,94549,10108,97.6,3063
1078,94550,17450,97.3,5027
1079,94551,14391,96.7,3446
1080,94552,5048,99.3,1312
1081,94553,19163,97.1,4096
1082,94555,11718,98.7,5682
1083,94556,5534,96.8,1617
1084,94558,24070,95.5,5030
1085,94559,10131,97,1859
1086,94560,14354,98.6,3796
1087,94561,12924,97.3,4152
1088,94562,0,-,0
1089,94563,7226,97.6,2500
1090,94564,6794,92.5,1110
1091,94565,29146,94.8,6371
1092,94566,16088,97.6,5090
1093,94567,241,97.5,51
1094,94568,22946,98.3,8830
1095,94569,169,100,0
1096,94571,5320,95.5,210
1097,94572,3234,96.1,610
1098,94573,34,100,0
1099,94574,3443,97.8,590
1100,94575,0,-,0
1101,94576,52,100,0
1102,94577,16954,92.7,3081
1103,94578,14091,94.5,2599
1104,94579,6607,96.5,1346
1105,94580,8938,95.8,2218
1106,94582,16025,99.4,7210
1107,94583,13361,97.6,4935
1108,94585,9486,97.2,2139
1109,94586,299,100,69
1110,94587,20800,97.5,5289
1111,94588,12169,99.5,4382
1112,94589,9731,95,2108
1113,94590,15234,93.6,1959
1114,94591,19652,97.4,3336
1115,94592,425,100,49
1116,94595,9514,93.9,833
1117,94596,10501,98.2,1685
1118,94597,10839,98.5,1996
1119,94598,10430,98.3,2576
1120,94599,1639,88.5,115
1121,94601,15758,90.3,3115
1122,94602,12034,96.1,2196
1123,94603,10174,90.2,2390
1124,94605,16812,92.5,2475
1125,94606,15712,92.7,1751
1126,94607,11678,90.1,751
1127,94608,15442,96.3,1252
1128,94609,10321,96.3,1423
1129,94610,15656,96.9,1981
1130,94611,17675,95.8,3368
1131,94612,9429,88.6,336
1132,94613,0,-,0
1133,94618,7409,98.2,1432
1134,94619,9457,96.2,2264
1135,94621,9900,89.6,1953
1136,94702,7094,95.5,1211
1137,94703,7962,97.6,1226
1138,94704,7843,97.3,310
1139,94705,5837,98.2,1076
1140,94706,7968,97.1,2453
1141,94707,4932,96.2,993
1142,94708,4574,99.3,960
1143,94709,5084,97.7,468
1144,94710,3368,96.3,411
1145,94720,154,93.5,24
1146,94801,9931,93.3,2438
1147,94803,9317,96.6,1766
1148,94804,15463,94.7,2990
1149,94805,5578,97.5,1071
1150,94806,20357,95.5,4049
1151,94901,15851,96.9,3067
1152,94903,12591,96.2,2351
1153,94904,5643,95.2,1393
1154,94920,5025,98.5,1247
1155,94922,100,100,0
1156,94923,556,90.6,31
1157,94924,557,100,0
1158,94925,3930,98.2,1181
1159,94928,17183,96.6,2398
1160,94929,160,100,54
1161,94930,3803,97.4,590
1162,94931,3539,96.9,650
1163,94933,516,97.3,66
1164,94937,580,94.7,51
1165,94938,265,100,0
1166,94939,3416,99.2,612
1167,94940,100,100,22
1168,94941,12469,97.8,3455
1169,94945,7137,97.8,1422
1170,94946,285,96.5,43
1171,94947,9236,93.6,1734
1172,94949,7082,95.2,1481
1173,94950,7,100,0
1174,94951,1483,94.5,135
1175,94952,13510,97.4,2797
1176,94954,13929,95.1,3177
1177,94956,623,91.7,26
1178,94957,671,100,223
1179,94960,5988,98.3,1572
1180,94963,129,100,20
1181,94964,127,100,0
1182,94965,6149,97.8,470
1183,94970,300,100,33
1184,94971,121,100,10
1185,94972,38,100,33
1186,94973,643,93.8,23
1187,95002,575,95.1,132
1188,95003,10166,96.3,1710
1189,95004,1398,94.1,202
1190,95005,2945,95,395
1191,95006,3534,97.8,469
1192,95007,214,100,52
1193,95008,19327,96.9,4389
1194,95010,4315,97.3,448
1195,95012,2517,92,860
1196,95013,18,100,0
1197,95014,21646,97.6,8638
1198,95017,268,86.9,66
1199,95018,2552,97.1,365
1200,95019,2024,76.6,552
1201,95020,19669,97.9,5559
1202,95023,16566,96.3,4741
1203,95030,5355,98.7,1256
1204,95032,10275,93.6,3092
1205,95033,3753,96.9,900
1206,95035,23749,98.2,7222
1207,95037,16888,97.5,4947
1208,95039,377,96,83
1209,95041,283,100,118
1210,95043,272,90.4,42
1211,95045,1421,99.1,220
1212,95046,1847,94.4,380
1213,95050,14764,97.1,2806
1214,95051,22468,97.8,5891
1215,95053,0,-,0
1216,95054,8578,99.1,2551
1217,95060,18841,96.6,2524
1218,95062,15149,96.4,2466
1219,95064,536,100,86
1220,95065,2930,97.7,536
1221,95066,5893,96.8,1130
1222,95070,11376,98.6,3564
1223,95073,4175,95.5,985
1224,95075,176,100,39
1225,95076,24053,92.6,5811
1226,95110,6665,96.1,1277
1227,95111,15899,96.1,4134
1228,95112,20778,94.6,2504
1229,95113,1276,88.1,21
1230,95116,13728,93,3105
1231,95117,10479,97.4,2737
1232,95118,11204,97.1,3330
1233,95119,3388,99.6,903
1234,95120,12536,97.6,4454
1235,95121,9832,97.9,2636
1236,95122,12058,95.3,2961
1237,95123,23930,97.9,5704
1238,95124,17553,97.1,6593
1239,95125,21083,96.7,4792
1240,95126,15021,97,2465
1241,95127,15939,95.8,4231
1242,95128,13898,94,2270
1243,95129,13835,96.8,4712
1244,95130,4491,96.9,1449
1245,95131,9736,98.2,2959
1246,95132,12115,95.8,3145
1247,95133,8875,95,1881
1248,95134,13383,99.9,2497
1249,95135,7651,96,2403
1250,95136,16114,98.5,3855
1251,95138,5639,98,1777
1252,95139,2117,99.2,609
1253,95140,60,91.7,9
1254,95148,12124,98.3,3876
1255,95202,2920,74.3,85
1256,95203,5387,95.1,989
1257,95204,11080,92.8,1881
1258,95205,10735,90.7,2590
1259,95206,17279,94.8,5117
1260,95207,18347,92.4,3013
1261,95209,13129,94.8,3366
1262,95210,11934,94.4,2371
1263,95211,0,-,0
1264,95212,7747,96.9,2203
1265,95215,7076,92.3,1602
1266,95219,10856,97.9,2770
1267,95220,2712,95.6,720
1268,95221,69,100,0
1269,95222,2238,90.2,193
1270,95223,1305,96.1,46
1271,95224,74,83.8,9
1272,95225,322,58.1,19
1273,95226,0,-,0
1274,95227,332,96.1,76
1275,95228,1731,98.5,182
1276,95230,226,100,81
1277,95231,709,83.6,188
1278,95232,29,100,0
1279,95233,99,96,12
1280,95236,1708,93.4,312
1281,95237,1522,92.1,276
1282,95240,16235,93.3,3643
1283,95242,10058,96,2435
1284,95245,1003,90.6,56
1285,95246,447,94.6,41
1286,95247,1542,90.4,161
1287,95248,16,100,0
1288,95249,1749,99.2,190
1289,95251,250,100,0
1290,95252,4814,94.6,952
1291,95253,124,100,47
1292,95254,279,100,26
1293,95255,708,86,59
1294,95257,149,100,0
1295,95258,1538,98,348
1296,95301,12857,95.2,2745
1297,95303,291,100,70
1298,95304,4359,97.9,1167
1299,95305,58,50,0
1300,95306,383,83.3,19
1301,95307,13022,90.3,3350
1302,95309,0,-,0
1303,95310,713,89.8,53
1304,95311,989,92.5,59
1305,95312,63,92.1,0
1306,95313,424,80.4,50
1307,95315,3554,94.3,1001
1308,95316,2627,95.7,868
1309,95317,260,91.9,109
1310,95318,224,100,39
1311,95319,576,100,50
1312,95320,4585,95.2,1181
1313,95321,1809,96.5,151
1314,95322,3319,92.1,533
1315,95323,434,96.8,152
1316,95324,2626,90.3,715
1317,95325,35,100,0
1318,95326,3743,92.9,669
1319,95327,3012,94,312
1320,95328,989,83.9,468
1321,95329,1172,90.1,111
1322,95330,6907,97.4,2557
1323,95333,794,88.9,147
1324,95334,4142,94.2,1019
1325,95335,73,100,0
1326,95336,15395,94.4,2800
1327,95337,12551,95.1,3608
1328,95338,4720,88.9,521
1329,95340,12338,93.2,1976
1330,95341,8787,90.6,2183
1331,95345,332,91.6,78
1332,95346,488,90,105
1333,95348,10765,92.3,1801
1334,95350,19358,93.7,3448
1335,95351,13453,91.9,2973
1336,95354,8773,92.3,1545
1337,95355,21060,94.3,4114
1338,95356,11219,98.1,2742
1339,95357,4259,95.8,1035
1340,95358,8418,93.3,2549
1341,95360,3956,92.6,1062
1342,95361,12286,92.8,2792
1343,95363,7948,96,3146
1344,95364,0,-,0
1345,95365,1106,83.8,342
1346,95366,6649,94.6,1514
1347,95367,7489,94.5,2285
1348,95368,4262,94.5,1104
1349,95369,331,86.4,49
1350,95370,11988,91.5,1712
1351,95372,645,92.9,199
1352,95374,540,94.1,152
1353,95375,61,26.2,0
1354,95376,16697,97.4,4547
1355,95377,9045,96.8,3626
1356,95379,1705,90.6,247
1357,95380,15286,92.6,3063
1358,95382,12894,93.9,3357
1359,95383,1870,94.7,352
1360,95385,213,100,57
1361,95386,2934,93.7,761
1362,95387,275,80.7,104
1363,95388,3740,95.5,823
1364,95389,333,98.5,0
1365,95391,5983,99.9,3349
1366,95401,13592,97.4,2302
1367,95403,16286,96.3,3266
1368,95404,15507,93.9,2892
1369,95405,9396,97,1485
1370,95407,12871,96.1,3108
1371,95409,11870,95.5,1756
1372,95410,412,87.1,0
1373,95412,161,91.3,15
1374,95415,433,96.8,88
1375,95417,95,61.1,34
1376,95419,162,78.4,0
1377,95420,85,100,25
1378,95421,726,91.6,81
1379,95422,6136,86.7,608
1380,95423,1528,82.5,107
1381,95425,4585,96,1047
1382,95426,644,100,38
1383,95427,223,100,21
1384,95428,973,74.7,112
1385,95429,70,42.9,0
1386,95430,15,100,0
1387,95431,0,-,0
1388,95432,276,96.4,12
1389,95435,89,100,75
1390,95436,2644,95.9,578
1391,95437,6438,88.1,750
1392,95439,169,100,18
1393,95441,701,93.6,111
1394,95442,1161,98.5,134
1395,95443,36,100,0
1396,95444,219,100,14
1397,95445,955,95.7,101
1398,95446,2336,93.9,123
1399,95448,6724,94.5,1087
1400,95449,493,85.8,50
1401,95450,84,86.9,0
1402,95451,4767,91.9,529
1403,95452,623,89.6,52
1404,95453,4638,91.3,681
1405,95454,924,82.5,89
1406,95456,419,95.7,12
1407,95457,1368,91.2,166
1408,95458,1359,93.5,76
1409,95459,313,88.8,66
1410,95460,1070,91.8,38
1411,95461,1322,89.8,232
1412,95462,592,97.6,27
1413,95463,35,100,7
1414,95464,921,88.9,185
1415,95465,603,98.5,76
1416,95466,310,95.5,0
1417,95467,2244,100,584
1418,95468,547,83.4,80
1419,95469,615,91.7,65
1420,95470,2096,94.6,438
1421,95471,388,100,55
1422,95472,11767,96.4,1717
1423,95476,15163,96.6,2134
1424,95480,5,20,0
1425,95482,11329,90.3,2255
1426,95485,1199,92.9,138
1427,95486,35,100,0
1428,95488,103,100,6
1429,95490,5578,87.6,748
1430,95492,9771,95.4,2595
1431,95493,46,100,0
1432,95494,42,100,0
1433,95497,583,96.9,11
1434,95501,9787,95.2,1273
1435,95503,9567,94,1293
1436,95511,57,100,0
1437,95514,59,74.6,0
1438,95519,7259,95.8,1321
1439,95521,8351,94.5,737
1440,95524,669,93.3,93
1441,95525,698,93.6,11
1442,95526,210,80,5
1443,95527,197,64.5,0
1444,95528,578,93.6,63
1445,95531,7688,94,1336
1446,95536,1158,87,203
1447,95537,126,100,0
1448,95538,438,97.7,43
1449,95540,5638,90.4,953
1450,95542,1137,92.5,120
1451,95543,232,96.6,0
1452,95545,84,61.9,11
1453,95546,913,82.4,70
1454,95547,486,92,63
1455,95548,383,87.5,48
1456,95549,393,98.2,91
1457,95550,64,85.9,0
1458,95551,620,93.7,119
1459,95552,240,77.1,7
1460,95553,359,91.6,28
1461,95554,176,88.1,0
1462,95555,120,84.2,8
1463,95556,271,95.9,140
1464,95558,135,82.2,15
1465,95559,0,-,0
1466,95560,623,93.9,47
1467,95562,1381,80.7,186
1468,95563,293,86.3,36
1469,95564,201,96.5,18
1470,95565,274,97.4,23
1471,95567,790,87.3,107
1472,95568,46,100,1
1473,95569,106,89.6,0
1474,95570,1071,97.6,131
1475,95571,47,100,0
1476,95573,581,92.3,119
1477,95585,194,87.1,12
1478,95587,36,100,0
1479,95589,654,97.6,27
1480,95595,112,100,7
1481,95601,138,100,14
1482,95602,7290,96,1093
1483,95603,11825,95,1794
1484,95604,23,100,0
1485,95605,4924,92.7,942
1486,95606,91,80.2,24
1487,95607,94,90.4,8
1488,95608,25840,96,4337
1489,95610,17254,95.4,2966
1490,95612,523,90.1,116
1491,95613,53,100,0
1492,95614,1797,100,304
1493,95615,342,95.3,94
1494,95616,18126,98.3,2321
1495,95618,9708,98.4,2188
1496,95619,2513,93.7,615
1497,95620,7379,95.9,1805
1498,95621,16495,95.2,2546
1499,95623,1606,97.3,339
1500,95624,20205,97.3,6220
1501,95625,119,63,0
1502,95626,1934,98,352
1503,95627,1209,98.4,386
1504,95628,16594,97.2,2973
1505,95629,305,66.9,54
1506,95630,27236,97.7,8510
1507,95631,2552,91.3,224
1508,95632,10076,94.3,2964
1509,95633,1266,83.1,152
1510,95634,1842,81.5,135
1511,95635,369,100,0
1512,95636,497,93,205
1513,95637,56,100,0
1514,95638,828,85.1,171
1515,95639,70,100,0
1516,95640,3819,87.4,611
1517,95641,741,82.2,48
1518,95642,2915,94.6,333
1519,95645,467,76.2,80
1520,95646,89,100,30
1521,95648,20372,97.5,4615
1522,95650,5467,97.4,1355
1523,95651,201,80.6,42
1524,95652,318,100,35
1525,95653,166,84.9,52
1526,95655,1545,96.8,665
1527,95658,2325,95.5,387
1528,95659,316,92.7,72
1529,95660,10831,94.2,2364
1530,95661,12829,95.3,2749
1531,95662,12767,95.6,2176
1532,95663,1092,98.8,229
1533,95664,395,100,29
1534,95665,1851,93,300
1535,95666,2441,94.4,278
1536,95667,14514,92.9,1998
1537,95668,196,77,25
1538,95669,982,90.2,162
1539,95670,21713,96.9,4484
1540,95671,39,100,0
1541,95672,2084,94.5,541
1542,95673,5154,96.7,1140
1543,95674,269,91.1,50
1544,95675,157,75.8,56
1545,95676,41,82.9,17
1546,95677,10223,95.6,2539
1547,95678,17322,96.1,3629
1548,95679,64,100,22
1549,95680,0,-,0
1550,95681,336,95.5,170
1551,95682,11621,95.4,2518
1552,95683,2564,98.9,336
1553,95684,1309,94.3,136
1554,95685,2214,93.3,189
1555,95686,387,94.8,58
1556,95687,22424,96.4,4512
1557,95688,13909,96.6,3016
1558,95689,562,92.2,60
1559,95690,711,98.2,182
1560,95691,14086,96.1,3786
1561,95692,1721,95.4,335
1562,95693,2475,96.1,483
1563,95694,3299,94.6,798
1564,95695,14578,88.6,3460
1565,95697,105,90.5,0
1566,95698,138,72.5,12
1567,95699,7,100,0
1568,95701,391,96.7,30
1569,95703,820,100,98
1570,95709,2546,97.6,389
1571,95713,3748,93,677
1572,95714,157,89.2,24
1573,95715,21,85.7,0
1574,95717,73,90.4,0
1575,95720,47,91.5,13
1576,95721,0,-,0
1577,95722,1873,97.1,318
1578,95726,3342,95.9,399
1579,95728,139,100,23
1580,95735,24,87.5,2
1581,95736,57,100,0
1582,95742,4030,100,1596
1583,95746,7945,97.3,2233
1584,95747,25949,97.7,7416
1585,95757,14578,99.1,6003
1586,95758,22152,97.4,5754
1587,95762,15688,98,4818
1588,95765,13911,97.5,5181
1589,95776,7977,95.9,2178
1590,95811,4079,96.6,58
1591,95814,6777,92,109
1592,95815,9634,91.1,1254
1593,95816,10574,97.1,634
1594,95817,6558,94.4,571
1595,95818,10404,97.1,1317
1596,95819,8112,97,1495
1597,95820,13625,92.7,1920
1598,95821,15809,94.3,2440
1599,95822,16651,92.4,3015
1600,95823,24311,95.1,5368
1601,95824,9144,88.4,2074
1602,95825,16086,96.9,1905
1603,95826,16045,95.8,2646
1604,95827,7407,93,1459
1605,95828,17895,94.5,3680
1606,95829,9157,97.6,2770
1607,95830,202,100,30
1608,95831,18969,95.6,2941
1609,95832,3237,96.2,781
1610,95833,15582,97.4,2905
1611,95834,11682,98.1,2971
1612,95835,14342,98.8,4004
1613,95837,106,100,6
1614,95838,11671,95.9,2443
1615,95841,8225,96.2,1438
1616,95842,11884,95,2034
1617,95843,15020,98.9,4145
1618,95864,9891,96.5,2222
1619,95901,12615,91.7,2691
1620,95903,357,100,187
1621,95910,65,58.5,0
1622,95912,1406,87.5,438
