,ZCTA,Estimate  HOUSEHOLDS BY TYPE  Total households,Percent  COMPUTERS AND INTERNET USE  Total households  With a computer,Estimate  HOUSEHOLDS BY TYPE  Total households  Married-couple household  With children of the householder under 18 years
1765,96104,398,94,60
1766,96105,174,83.9,0
1767,96106,203,100,31
1768,96107,341,100,107
1769,96108,54,77.8,9
1770,96109,414,90.3,36
1771,96110,13,100,0
1772,96111,14,100,0
1773,96112,93,91.4,3
1774,96113,411,85.4,40
1775,96114,1311,92.1,69
1776,96115,67,100,9
1777,96116,31,0,0
1778,96117,99,81.8,16
1779,96118,569,85.2,66
1780,96119,12,100,0
1781,96120,326,96,24
1782,96121,112,100,33
1783,96122,1728,87.9,251
1784,96123,25,72,3
1785,96124,111,100,44
1786,96125,76,100,0
1787,96126,66,100,0
1788,96128,250,100,96
1789,96129,158,91.8,57
1790,96130,4967,92,838
1791,96132,10,70,1
1792,96133,129,100,0
1793,96134,676,80.6,160
1794,96135,60,100,0
1795,96136,17,100,0
1796,96137,1471,84,112
1797,96140,592,98.5,102
1798,96141,257,97.3,47
1799,96142,374,93.9,45
1800,96143,1467,94.4,222
1801,96145,1157,97.4,187
1802,96146,498,98.4,77
1803,96148,293,100,26
1804,96150,12461,95.1,1864
1805,96155,0,-,0
1806,96161,7193,99.2,1668
1807,97635,75,89.3,6
